#{"t_start": 1789746057.7703824, "env_id": "None"}
r,l,t
-78.4,50,83.573971
-66.8,50,83.989407
-79.6,50,84.997187
-119.5,50,85.441786
-83.6,50,86.605624
-82.7,50,87.084687
-277.2,50,87.519877
-261.5,50,88.561151
-178.4,50,89.008142
-109.3,50,90.041824
-77.5,50,90.491205
-92.6,50,90.970939
-350.3,50,91.995239
-310.5,50,92.431208
-113.5,50,92.879215
-316.0,50,93.991009
-153.2,50,94.431318
-108.6,50,95.465528
-320.4,50,95.925677
-115.8,50,96.491113
-91.6,50,97.506496
-98.4,50,97.917735
-216.2,50,98.964166
-335.6,50,99.442362
-101.5,50,99.867467
-115.0,50,100.936299
-81.1,50,101.37466
-177.3,50,102.422251
-84.3,50,102.873205
-59.6,50,103.322084
-206.9,50,104.32153
-76.1,50,104.745019
-101.6,50,105.814456
-139.0,50,106.202832
-186.3,50,106.772665
-109.6,50,107.792664
-93.0,50,108.276417
-93.4,50,108.684206
-98.9,50,109.720282
-112.1,50,110.170204
-85.2,50,111.192759
-263.7,50,111.649568
-277.7,50,112.124127
-286.6,50,113.142001
-59.0,50,113.610494
-354.5,50,114.601746
-71.1,50,115.009587
-190.0,50,115.423253
-97.2,50,116.441483
-78.6,50,117.01062
-98.7,50,118.054357
-147.8,50,118.479465
-108.6,50,118.90687
-102.5,50,119.921266
-109.6,50,120.360373
-221.2,50,120.810652
-227.5,50,121.78409
-161.5,50,122.138087
-101.5,50,123.038547
-120.9,50,123.22454
-96.5,50,123.369537
-79.7,50,123.7355
-91.6,50,123.884731
-79.4,50,124.21074
-107.1,50,124.442987
-95.7,50,124.581187
-343.5,50,124.914334
-96.7,50,125.050083
-87.5,50,125.372373
-76.7,50,125.510835
-95.1,50,125.653295
-60.6,50,125.98662
-84.6,50,126.125105
-99.0,50,126.464055
-95.6,50,126.601075
-259.7,50,126.741524
-81.4,50,127.105103
-135.0,50,127.260752
-139.1,50,127.500195
-98.8,50,127.892925
-84.7,50,128.051957
-82.6,50,128.417026
-153.9,50,128.571745
-103.3,50,128.720195
-82.2,50,129.446469
-208.4,50,129.847618
-105.2,50,130.878173
-125.4,50,131.27973
-184.9,50,131.727196
-78.8,50,132.77601
-93.6,50,133.211784
-80.2,50,134.329921
-82.1,50,134.78864
-277.7,50,135.37985
-102.3,50,136.436908
-119.0,50,136.917892
-107.9,50,137.938175
-85.2,50,138.370518
-94.7,50,138.813324
-95.9,50,139.802883
-67.1,50,140.231123
-94.9,50,140.730527
-87.4,50,141.800272
-58.5,50,142.251159
-72.3,50,143.340711
-311.0,50,143.822224
-271.5,50,144.257282
-130.8,50,145.468053
-111.6,50,145.908785
-73.4,50,146.953452
-95.8,50,147.381564
-106.4,50,147.807465
-246.5,50,148.807233
-109.2,50,149.263195
