#{"t_start": 1789741864.7793303, "env_id": "None"}
r,l,t
-1.0,8,2.751738
-2.1,8,2.809947
-2.0,8,2.859902
-0.1,8,2.905565
-4.0,8,2.953908
-2.0,8,2.995538
-1.0,8,3.04399
-1.0,8,3.085297
-4.1,8,3.132145
-3.1,8,3.184841
-0.1,8,3.231222
-1.0,8,3.284858
-2.1,8,3.333316
-4.1,8,3.37752
-3.0,8,3.422613
-3.1,8,3.467124
